filename,mode,ground_truth,llm_prediction,match
Floor-GDE_BAL_MET_30-7151537.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Holzfassade_Hinterlüftet_Laibung-2906806.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-BBA_BL_15-Mieterausbau-11598222.json,Elements,Bodenbeläge,Bodenbeläge,1
Attikablech-Galerie-Südwest-Attikablech-Galerie-Südwest-6351305.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Fassade-Ecke-EG1-FAS_ECK_EG-12651885.json,Elements,Metallbaustoffe,"Fenster, Sonnenschutz, Fassadenplatten",0
Basic-Wall-Brandschutzplatte-28mm-1935406.json,Elements,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Basic-Wall-WAN_TWÄ_MW_125---EI30-11161798.json,Elements,Mauersteine,"Mineralische Platten, Schüttungen, Steine und Ziegel",0
hlks1-hlks-10122938.json,Elements,None,None,1
Basic-Wall-WAN_BRÜ_STB_160-dachrand-8113151.json,Elements,Beton,Beton,1
Bolt-M16-1248900.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-3-Schichtplatte-40mm-5206093.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-STB-1560-3067474.json,Elements,Beton,Beton,1
Basic-Wall-DÄ_FUN_VER_100-12568941.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-OSB-25mm-5183063.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TO---Brandschutztor-TOI_SIT_MET_ST---2300-x-2200-10306412.json,Elements,Türen,Türen,1
Railing-GEL_FÜL_BALK_GITR-11023613.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Holzwerkstoffplatte-20mm-21680813.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-Purenit-Fusspunkt-6169888.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Assembled-Stair-Stair-1458173-Run-1.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Panel-Holz-beidseitig-gelocht-mit-Dämmung-54mm-22849485.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Surface-2872326.json,Elements,None,None,1
Floor-Terrassenbelag-Holzlattung-Douglasie-7269453.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-WAN_ASW_LB_100-gel-5059296.json,Elements,Bodenbeläge,Beton,0
Beam-Planed-Timber-45x95-1091811.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TU-DF-1---Pfostenstock-Falztüre-DL---900-x-2130-1118965.json,Elements,Türen,Türen,1
Systemelement-Glas-100---Versatz-25-5102516.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Rechteckiger-Pfosten-140-x-60---Holz-21414725.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Bleche-Fassade_V6-Bleche-Fassade_V6-4910201.json,Elements,Metallbaustoffe,"Fenster, Sonnenschutz, Fassadenplatten",0
Floor-AHD_DÄ_160-12312285.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Systemelement-PAN_GLAS_45---OG-11226128.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Stiffener-Stiffener-1094120.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Wall-Foundation-Bearing-Footing---900-x-300-186596.json,Elements,Beton,Beton,1
Basic-Wall-Brandschutzplatte-5251017.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
